pmc_id,pmc_url,title,doi,pmid,journal,year
PMC509297,https://pmc.ncbi.nlm.nih.gov/articles/PMC509297/,"Forgetting, Reminding, and Remembering: The Retrieval of Lost Spatial Memory",10.1371/journal.pbio.0020225,15314651,PLoS Biology,2004
PMC517824,https://pmc.ncbi.nlm.nih.gov/articles/PMC517824/,Mechanism of Prion Propagation: Amyloid Growth Occurs by Monomer Addition,10.1371/journal.pbio.0020321,15383837,PLoS Biology,2004
PMC521171,https://pmc.ncbi.nlm.nih.gov/articles/PMC521171/,Sensitivity to Oxidative Stress in DJ-1-Deficient Dopamine Neurons: An ES- Derived Cell Model of Primary Parkinsonism,10.1371/journal.pbio.0020327,15502868,PLoS Biology,2004
PMC521177,https://pmc.ncbi.nlm.nih.gov/articles/PMC521177/,DJ-1 Is a Redox-Dependent Molecular Chaperone That Inhibits α-Synuclein Aggregate Formation,10.1371/journal.pbio.0020362,15502874,PLoS Biology,2004
PMC539292,https://pmc.ncbi.nlm.nih.gov/articles/PMC539292/,Passive immunotherapy against Aβ in aged APP-transgenic mice reverses cognitive deficits and depletes parenchymal amyloid deposits in spite of increased vascular amyloid and microhemorrhage,10.1186/1742-2094-1-24,15588287,Journal of Neuroinflammation,2004
PMC545600,https://pmc.ncbi.nlm.nih.gov/articles/PMC545600/,Bioconductor: open software development for computational biology and bioinformatics,10.1186/gb-2004-5-10-r80,15461798,Genome Biology,2004
PMC1181540,https://pmc.ncbi.nlm.nih.gov/articles/PMC1181540/,Aging and Gene Expression in the Primate Brain,10.1371/journal.pbio.0030274,16048372,PLoS Biology,2005
PMC1216331,https://pmc.ncbi.nlm.nih.gov/articles/PMC1216331/,Impaired Cross-Modal Inhibition in Alzheimer Disease,10.1371/journal.pmed.0020288,16159306,PLoS Medicine,2005
PMC1274341,https://pmc.ncbi.nlm.nih.gov/articles/PMC1274341/,Focal glial activation coincides with increased BACE1 activation and precedes amyloid plaque deposition in APP[V717I] transgenic mice,10.1186/1742-2094-2-22,16212664,Journal of Neuroinflammation,2005
PMC1283364,https://pmc.ncbi.nlm.nih.gov/articles/PMC1283364/,Persistent Amyloidosis following Suppression of Aβ Production in a Transgenic Model of Alzheimer Disease,10.1371/journal.pmed.0020355,16279840,PLoS Medicine,2005
PMC1288039,https://pmc.ncbi.nlm.nih.gov/articles/PMC1288039/,Functional Amyloid Formation within Mammalian Tissue,10.1371/journal.pbio.0040006,16300414,PLoS Biology,2005
PMC1315281,https://pmc.ncbi.nlm.nih.gov/articles/PMC1315281/,Genome-Wide Associations of Gene Expression Variation in Humans,10.1371/journal.pgen.0010078,16362079,PLoS Genetics,2005
PMC1347471,https://pmc.ncbi.nlm.nih.gov/articles/PMC1347471/,BioGRID: a general repository for interaction datasets,10.1093/nar/gkj109,16381927,Nucleic Acids Research,2005
PMC1609108,https://pmc.ncbi.nlm.nih.gov/articles/PMC1609108/,Expression profiles for macrophage alternative activation genes in AD and in mouse models of AD,10.1186/1742-2094-3-27,17005052,Journal of Neuroinflammation,2006
PMC1713260,https://pmc.ncbi.nlm.nih.gov/articles/PMC1713260/,Population Structure and Eigenanalysis,10.1371/journal.pgen.0020190,17194218,PLoS Genetics,2006
PMC1832188,https://pmc.ncbi.nlm.nih.gov/articles/PMC1832188/,Lack of α-synuclein increases amyloid plaque accumulation in a transgenic mouse model of Alzheimer's disease,10.1186/1750-1326-2-6,17367539,Molecular Neurodegeneration,2007
PMC1851623,https://pmc.ncbi.nlm.nih.gov/articles/PMC1851623/,TREM2-Transduced Myeloid Precursors Mediate Nervous Tissue Debris Clearance and Facilitate Recovery in an Animal Model of Multiple Sclerosis,10.1371/journal.pmed.0040124,17425404,PLoS Medicine,2007
PMC1933162,https://pmc.ncbi.nlm.nih.gov/articles/PMC1933162/,MolProbity: all-atom contacts and structure validation for proteins and nucleic acids,10.1093/nar/gkm216,17452350,Nucleic Acids Research,2007
PMC1952204,https://pmc.ncbi.nlm.nih.gov/articles/PMC1952204/,Reducing Amyloid Plaque Burden via Ex Vivo Gene Delivery of an Aβ-Degrading Protease: A Novel Therapeutic Approach to Alzheimer Disease,10.1371/journal.pmed.0040262,17760499,PLoS Medicine,2007
PMC1955446,https://pmc.ncbi.nlm.nih.gov/articles/PMC1955446/,Simvastatin is associated with a reduced incidence of dementia and Parkinson's disease,10.1186/1741-7015-5-20,17640385,BMC Medicine,2007
PMC1959381,https://pmc.ncbi.nlm.nih.gov/articles/PMC1959381/,In Vitro and In Vivo Neurotoxicity of Prion Protein Oligomers,10.1371/journal.ppat.0030125,17784787,PLoS Pathogens,2007
PMC1964779,https://pmc.ncbi.nlm.nih.gov/articles/PMC1964779/,The Diploid Genome Sequence of an Individual Human,10.1371/journal.pbio.0050254,17803354,PLoS Biology,2007
PMC1965476,https://pmc.ncbi.nlm.nih.gov/articles/PMC1965476/,The protocols for the 10/66 dementia research group population-based research programme,10.1186/1471-2458-7-165,17659078,BMC Public Health,2007
PMC1976335,https://pmc.ncbi.nlm.nih.gov/articles/PMC1976335/,Structural Reorganisation and Potential Toxicity of Oligomeric Species Formed during the Assembly of Amyloid Fibrils,10.1371/journal.pcbi.0030173,17941703,PLoS Computational Biology,2007
PMC2014744,https://pmc.ncbi.nlm.nih.gov/articles/PMC2014744/,A novel p38α MAPK inhibitor suppresses brain proinflammatory cytokine up-regulation and attenuates synaptic dysfunction and behavioral deficits in an Alzheimer's disease mouse model,10.1186/1742-2094-4-21,17784957,Journal of Neuroinflammation,2007
PMC2040216,https://pmc.ncbi.nlm.nih.gov/articles/PMC2040216/,Prognostic Value of Posteromedial Cortex Deactivation in Mild Cognitive Impairment,10.1371/journal.pone.0001104,17971867,PLoS ONE,2007
PMC2043051,https://pmc.ncbi.nlm.nih.gov/articles/PMC2043051/,Systematic In Vivo Analysis of the Intrinsic Determinants of Amyloid β Pathogenicity,10.1371/journal.pbio.0050290,17973577,PLoS Biology,2007
PMC2064547,https://pmc.ncbi.nlm.nih.gov/articles/PMC2064547/,Deletion of tumor necrosis factor death receptor inhibits amyloid β generation and prevents learning and memory deficits in Alzheimer's mice,10.1083/jcb.200705042,17724122,The Journal of Cell Biology,2007
PMC2082649,https://pmc.ncbi.nlm.nih.gov/articles/PMC2082649/,Cholinesterase Inhibitors in Mild Cognitive Impairment: A Systematic Review of Randomised Trials,10.1371/journal.pmed.0040338,18044984,PLoS Medicine,2007
PMC2100048,https://pmc.ncbi.nlm.nih.gov/articles/PMC2100048/,"Fibril specific, conformation dependent antibodies recognize a generic epitope common to amyloid fibrils and fibrillar oligomers that is absent in prefibrillar oligomers",10.1186/1750-1326-2-18,17897471,Molecular Neurodegeneration,2007
PMC2114585,https://pmc.ncbi.nlm.nih.gov/articles/PMC2114585/,Tau protein function in living cells,,3098742,The Journal of Cell Biology,1986
